id,director
103,['Martin Scorsese-1032']
33542,['Stanley Tong-44916']
43566,['Barbet Schroeder-23393']
71754,['Mort Ransen-184475']
43612,['Étienne Chatiliez-20849']
51352,['Jon Blair-82293']
16934,['Benjamin Ross-81020']
10324,['Eric Schaeffer-68185']
78406,['Andrew Davis-12989']
55731,['Charles T. Kanganis-36147']
32119,['John N. Smith-60295']
11066,['Reginald Hudlin-68215']
11104,['Wong Kar-wai-12453']
37975,['Giuseppe Tornatore-65314']
2074,['David O. Russell-17883']
27793,['Peter MacDonald-16589']
44284,['Moufida Tlatli-239321']
290157,['Michel Negroponte-93632']
110972,['Bryan Gordon-122583']
32622,['Rebecca Miller-41670']
73067,['Michael Lindsay-Hogg-125543']
11863,['William Friedkin-15175']
55475,['Ángel Muñiz-114997']
124636,['Craig Baldwin-84445']
9101,['David S. Ward-12920']
123360,['Mark Rappaport-1077999']
5757,['Dirk Shafer-45382']
39428,['Terence Davies-93911']
124639,['Sandip Ray-1080311']
9302,['Jon Avnet-18250']
11000,['Mike Nichols-5342']
249882,['Jakov Sedlar-1285121']
16388,['Edward Burns-12833']
9737,['Michael Bay-865']
30765,['Christopher Cain-56828']
10474,['Scott Kalvert-65390']
22279,['Mike Newell-10723']
30157,['Hal Hartley-91343']
568,['Ron Howard-6159']
11780,['Michael Caton-Jones-30365']
34996,['Abel Ferrara-39104']
414,['Joel Schumacher-5572']
649,['Luis Buñuel-793']
1873,['John Boorman-19665']
5894,"['Paul Auster-46391', 'Wayne Wang-39819']"
1775,['Michael Moore-17087']
8839,['Brad Silberling-11887']
20649,['Spike Lee-5281']
10329,['Frank Marshall-664']
8963,['Tony Scott-893']
26564,['Terry Zwigoff-17447']
8068,['Robert Rodriguez-2294']
8512,['Carl Franklin-21712']
1572,['John McTiernan-1090']
13552,['Gregg Araki-19224']
259209,['Christopher Menaul-68774']
6520,['Jerry Zucker-3415']
9073,['Dwight H. Little-56998']
10428,['Iain Softley-1978']
17447,['Christopher Ashley-252806']
9886,['Robert Longo-59997']
9482,['Danny Cannon-33279']
19326,['John Fortenberry-58316']
9344,['Larry Clark-51917']
9071,['Tom DiCillo-6400']
8973,['Clive Barker-31211']
15730,['Denys Arcand-38516']
47608,['Antonia Bird-42617']
2293,['Kevin Smith-19303']
9070,['Bryan Spicer-42111']
68274,['David Anspaugh-44847']
48787,['Anthony Waller-58384']
34574,['Michael Almereyda-54469']
1642,['Irwin Winkler-11472']
11472,['Chris Columbus-10965']
36196,['Daisy von Scherler Mayer-56714']
11980,['Gregory Widen-28902']
58372,['Norman René-26487']
32646,['Todd Haynes-16863']
10533,['Roland Joffé-8965']
56088,[]
10802,['Paul Verhoeven-10491']
10149,"['Wayne Wang-39819', 'Paul Auster-46391']"
18402,['Lasse Hallström-5306']
9348,['Roger Donaldson-21370']
139408,['James Keach-408']
281,['Kathryn Bigelow-14392']
5967,['Jacques Demy-24882']
79593,['Wesley Strick-17880']
47939,['Martha Coolidge-63713']
36834,['Agnieszka Holland-1128']
9090,['Beeban Kidron-20237']
3512,['Geoff Murphy-32277']
52856,['Diane Keaton-3092']
77350,['Douglas Keeve-588623']
9560,['Alfonso Aráu-22767']
9804,['Kevin Reynolds-8300']
31611,['Desmond Nakano-73494']
65796,['Walter Hill-1723']
49805,['Mike Figgis-6111']
26258,['Greg Beeman-17309']
50797,['Nikita Mikhalkov-82796']
19155,['Milčo Mančevski-1364800']
76,['Richard Linklater-564']
11017,['Tamra Davis-57691']
37141,['Guy Ferland-43468']
9382,['Herbert Ross-18378']
6715,['Peter Horton-44990']
18256,['Stuart Gordon-27991']
22625,"[""Pat O'Connor-19969""]"
2292,['Kevin Smith-19303']
1909,['Jeremy Leven-25210']
8984,['Barry Levinson-8246']
61813,['René Bonnière-225065']
4954,['John Badham-12840']
62488,['Jack Baran-58154']
10531,['Roman Polanski-3556']
11929,['Taylor Hackford-18596']
8467,"['Peter Farrelly-7396', 'Bobby Farrelly-7395']"
10451,['Ang Lee-1614']
20156,['Atom Egoyan-56205']
18395,['Garry Marshall-1201']
522,['Tim Burton-510']
397,['Lawrence Kasdan-8844']
10525,['Billy Crystal-7904']
27985,['Phillip Borsos-148119']
15789,"['Kevin Lima-15775', 'Paul Brizzi-56147']"
27303,['Brett Leonard-57090']
21183,['Carlo Carlei-87695']
10954,['Gérard Corbiau-67794']
47867,['Mark Lewis-1566166']
43475,['Art Clokey-129534']
72031,['Charles Burnett-97755']
14275,['Steve James-122449']
1024,['Peter Jackson-108']
17207,['Randall Miller-77121']
13701,['Bernard Rose-57851']
14819,['Steven Brill-32593']
32631,['J. F. Lawton-1203']
11777,['Fred Schepisi-64061']
628,['Neil Jordan-17016']
87729,['James Ivory-54441']
18713,['James Melkonian-73668']
6280,['Ivan Reitman-8858']
9061,['Arne Glimcher-56872']
37108,['Michael Gottlieb-62043']
6071,['Barbet Schroeder-23393']
11,['George Lucas-1']
9587,['Gillian Armstrong-58094']
19101,['Alfonso Cuarón-11218']
49980,['Ken Loach-15488']
17961,['Claude Chabrol-19069']
18183,['Alfonso Aráu-22767']
4476,['Edward Zwick-9181']
11008,['Nick Castle-14692']
47504,['James Gray-20561']
32325,['Allison Anders-3110']
43742,['Glenn Gordon Caron-58463']
28313,['Stephen Gyllenhaal-15912']
11318,['Nicholas Hytner-55476']
3036,['Kenneth Branagh-11181']
40490,['James Orr-27444']
24070,['Nora Ephron-9248']
8986,['Richard Benjamin-24318']
10510,['Les Mayfield-56911']
17402,['David Frankel-5065']
38722,['Gregory Nava-16395']
8438,['Marc Rocco-54971']
11593,['Robert Benton-6729']
1945,['Michael Apted-10781']
39310,['Nick Gomez-17278']
109560,['Tōru Murakawa-129957']
56428,['Vadim Jean-70905']
63105,['Albert Pyun-63937']
131957,['Alan Jacobs-131792']
241,['Oliver Stone-1152']
9058,['Norman Jewison-13563']
527,['Lee Tamahori-7256']
18220,['Anne Goursaud-2873']
6950,['Wolfgang Petersen-5231']
101,['Luc Besson-59']
63020,['Mira Nair-6495']
2307,['Joshua Brand-23757']
680,['Quentin Tarantino-138']
41478,['Mario Van Peebles-16214']
25296,['Ang Lee-1614']
40156,['Antonia Bird-42617']
11450,['Robert Redford-4135']
30304,['Kayo Hatta-994323']
10452,['Patrice Chéreau-23724']
12106,['Sam Raimi-7623']
161495,['Peter Yates-12804']
3586,['Robert Altman-9789']
110,['Krzysztof Kieślowski-1126']
108,['Krzysztof Kieślowski-1126']
109,['Krzysztof Kieślowski-1126']
159185,['He Ping-77305']
36357,['Fred Gerber-45642']
92769,['George Mihalka-133793']
28033,['Harold Ramis-1524']
22586,['Richard Rich-107274']
14334,['John Sayles-102445']
2636,['Luis Llosa-26648']
2164,['Roland Emmerich-6046']
11395,['John Pasquin-58072']
278,['Frank Darabont-4027']
9905,['Danny Boyle-2034']
87078,"['Scott McGehee-101444', 'David Siegel-101446']"
12527,"['Tomás Gutiérrez Alea-72646', 'Juan Carlos Tabío-72647']"
20306,['George Huang-57028']
36614,"['Kevin Dowling-91499', 'Geoff Burton-72629']"
27993,['Kelly Makin-64030']
31439,['Zhang Yimou-607']
9067,['Rachel Talalay-56891']
9059,['Ernest R. Dickerson-15521']
193,['David Carson-2380']
25066,['Rusty Cundieff-141825']
46797,['Brian Gilbert-58080']
12122,['John Carpenter-11770']
11381,['Peter Segal-13426']
32636,['Louis Malle-15389']
36141,['Steven Soderbergh-1884']
95963,['Preston A. Whitmore II-76705']
1587,['Lasse Hallström-5306']
9271,['Brett Leonard-57090']
2064,['Jon Turteltaub-12962']
19855,['Jon Avnet-18250']
60855,['Mina Shum-1230367']
236,['P.J. Hogan-3045']
48287,['Melanie Mayron-83313']
3049,['Tom Shadyac-4499']
2759,['Stephan Elliott-27889']
12635,['Iain Softley-1978']
10497,['Roman Polanski-3556']
11382,['Woody Allen-1243']
9331,['Phillip Noyce-13015']
10731,['Joel Schumacher-5572']
10464,['Jessie Nelson-16853']
34152,['Spike Lee-5281']
9495,['Alex Proyas-21085']
29973,['Ron Shelton-4037']
888,['Brian Levant-13581']
13,['Robert Zemeckis-24']
712,['Mike Newell-10723']
16295,['John Singleton-6482']
48992,['Darnell Martin-81727']
10879,['Charles Shyer-56106']
10660,['Andrew Bergman-41550']
10714,['Stephen Sommers-7775']
41647,['Ray Müller-226963']
8587,"['Roger Allers-15812', 'Rob Minkoff-18898']"
1689,['Bernardo Bertolucci-4956']
11596,['Wes Craven-5140']
854,['Chuck Russell-26713']
9359,['Richard Donner-7187']
23333,['Alan Rudolph-72427']
36593,['Peter Segal-13426']
12280,['Ron Howard-6159']
2788,['Ben Stiller-7399']
10427,['John Dahl-21053']
11011,['Donald Petrie-18281']
49803,['Robert Allan Ackerman-83588']
8987,['Curtis Hanson-323']
1637,['Jan de Bont-2209']
15128,['Ron Underwood-33485']
8831,['Peter Hyams-37710']
36955,['James Cameron-2710']
10449,['Luis Mandoki-46085']
10395,['Mike Nichols-5342']
12160,['Lawrence Kasdan-8844']
40480,['Damian Harris-42301']
52038,['Suri Krishnamma-158634']
29444,['Jefery Levy-72125']
26352,['Keenen Ivory Wayans-35689']
39953,"['Robert Lee King-133183', 'Brian Sloan-1066114', ""Raoul O'Connell-1087439""]"
41580,['Yves Angelo-234793']
315,['Russ Meyer-4590']
22067,['Doug McHenry-67896']
18242,['Dave Borthwick-80537']
11667,['Steven E. de Souza-1726']
32502,['Wallace Wolodarsky-486']
267188,['Michael A. Nickles-126837']
28732,['Paul Warner-1142481']
75555,['Vincent Robert-532207']
42981,['Theodore Thomas-129216']
278939,['Lucas Platt-1382436']
291731,['Ross Kagan Marks-1385254']
226229,['Paul Williams-220152']
203119,['Robert Wuhl-4040']
172923,['Roberto Sneider-16401']
316098,"['Jack Baxter-223910', 'Jefri Aalmuhammed-1410160']"
8011,['Andrew Morahan-53599']
171857,['Michael Corrente-77076']
2654,['John Carpenter-11770']
18069,['John G. Avildsen-16513']
19092,['Jeff Pollack-88060']
2758,['Barry Sonnenfeld-5174']
38129,['Thomas Schlamme-15106']
10436,['Martin Scorsese-1032']
13595,['Michael Lehmann-7145']
46094,['Paul Michael Glaser-12988']
9409,['John Badham-12840']
11853,['Jonathan Kaplan-42171']
16771,['Whit Stillman-78188']
46924,['Bill Forsyth-68687']
11041,['Penelope Spheeris-58448']
306,['John Landis-4610']
14522,['Caroline Thompson-1901']
26203,['Michael Apted-10781']
178,['Stephen Hopkins-2042']
19819,['William Friedkin-15175']
57834,['Tony Richardson-32765']
4722,['Abel Ferrara-39104']
18215,['Jennifer Chambers Lynch-14800']
1607,['Robert De Niro-380']
26391,['Adam Resnick-57107']
117553,['John Whitesell-61175']
6075,['Brian De Palma-1150']
11310,['Paul Weiland-66548']
18658,['Mick Jackson-8843']
9350,['Renny Harlin-16938']
9612,['Steve Barron-18308']
2124,['Richard Rush-21806']
26261,['Michael Ritchie-12964']
19176,['Gregg Champion-27236']
49299,['Abel Ferrara-39104']
11566,['Ivan Reitman-8858']
9571,['Richard Linklater-564']
9739,['Marco Brambilla-58838']
24257,['Bruce Brown-86']
34444,['Gus Van Sant-5216']
26141,['Carl Reiner-1895']
10997,['Chen Kaige-20640']
50463,['Donald Petrie-18281']
10443,['Peter Weir-2690']
20239,['Rusty Cundieff-141825']
16297,['Alek Keshishian-50949']
18551,['Steve Kloves-10967']
25440,['John Irvin-17784']
9024,['Barry Sonnenfeld-5174']
37233,['Sydney Pollack-2226']
1634,['Simon Wincer-18254']
13815,['Boaz Yakin-52358']
5503,['Andrew Davis-12989']
35588,['Walter Hill-1723']
2087,['Roger Donaldson-21370']
41579,['Howard Deutch-26502']
18620,['Rose Troche-172993']
41006,['Bruce Beresford-5696']
4916,['Sidney Lumet-39996']
2019,['John Woo-11401']
31642,['Oliver Stone-1152']
9255,['Jim Abrahams-12936']
26271,['Julianna Lavin-94996']
10612,['Christopher Monger-65859']
2259,['Bille August-19684']
16097,['Eric Meza-77733']
11934,['Joel Coen-1223']
106143,['James L. Brooks-3388']
12475,"['Daniel Petrie, Jr.-774']"
9386,['Wolfgang Petersen-5231']
7984,['Jim Sheridan-53334']
59930,['Matty Rich-230059']
15765,['Brian Gibson-18069']
31643,['Barry Levinson-8246']
6,['Stephen Hopkins-2042']
329,['Steven Spielberg-488']
10909,['Dominic Sena-58498']
507,['Roger Avary-8297']
34024,['Steven Soderbergh-1884']
29918,['Daniel Petrie-40549']
9593,['John McTiernan-1090']
42580,['James Lapine-90037']
22317,"['Simon Wincer-18254', 'Paul Hogan-57147', 'Greg Coote-71192']"
1413,['David Cronenberg-224']
12121,['Richard Benjamin-24318']
2246,['Harold Becker-23213']
10502,['Mel Gibson-2461']
10440,['Woody Allen-1243']
9516,"['Albert Hughes-11447', 'Allen Hughes-11448']"
2320,['Stuart Baird-2523']
5879,['Nagisa Ōshima-46230']
83718,['Tom Noonan-119232']
11971,['Kenneth Branagh-11181']
2625,['Mike Figgis-6111']
31911,['Anthony Minghella-2239']
788,['Chris Columbus-10965']
21450,['Mike Leigh-65452']
11231,['Christopher Cain-56828']
41588,['Michael Tolkin-16939']
10447,['Martin Campbell-10702']
31586,['Rob Reiner-3026']
9300,['Sally Potter-57206']
9559,['Clint Eastwood-190']
9800,['Jonathan Demme-16294']
713,['Jane Campion-10757']
8291,['John Singleton-6482']
18133,['David S. Ward-12920']
25557,['Stuart Orme-29482']
22588,['Mel Smith-141450']
10872,['Ted Demme-34849']
1245,['James Ivory-54441']
11858,['Penny Marshall-14911']
7007,['Philip Kaufman-648']
10467,['Alan Parker-9168']
5550,['Fred Dekker-44056']
8005,['Mel Brooks-14639']
2088,['Peter Medak-21377']
10412,['Geoffrey Wright-65026']
47889,['Victor Nunez-138322']
14534,['David Anspaugh-44847']
56583,['Tim Hunter-15858']
41878,['Cyril Collard-127283']
424,['Steven Spielberg-488']
35233,['Michael Ritchie-12964']
14291,['Steven Zaillian-2260']
103413,['Chris Menges-8969']
11236,['Agnieszka Holland-1128']
11592,['John Waters-10367']
8850,['Russell Mulcahy-52968']
10445,['Richard Attenborough-4786']
695,['Robert Altman-9789']
43535,['Gillies MacKinnon-33405']
12519,['John Duigan-72624']
23210,['Fred Schepisi-64061']
858,['Nora Ephron-9248']
867,['Phillip Noyce-13015']
78,['Ridley Scott-578']
13203,['Steve Rash-54590']
10442,['Thomas Schlamme-15106']
11074,['Rowdy Herrington-63943']
33367,['Arthur Joffé-111687']
9607,"['Annabel Jankel-58164', 'Rocky Morton-58165']"
17585,['Ernest R. Dickerson-15521']
9057,['Deran Sarafian-45645']
20967,['François Girard-78012']
10635,['Andrew Fleming-41549']
9479,['Henry Selick-57646']
10057,['Stephen Herek-18356']
11969,['George P. Cosmatos-16566']
41590,['Heywood Gould-53387']
319,['Tony Scott-893']
26408,"['D.A. Pennebaker-21113', 'Chris Hegedus-115891']"
15139,"['Joe Johnston-4945', 'Pixote Hunt-74299', 'Maurice Hunt-1164376']"
161158,['Jerry Ciccoritti-1212571']
218473,['Jennifer Warren-70241']
85247,['Mark Malone-85547']
11446,['Todd Solondz-66605']
51980,['Claude Berri-20718']
24405,['Dennis Hopper-2778']
11655,['Guillermo del Toro-10828']
11800,['Daniel Algrant-69696']
8223,['Pedro Almodóvar-309']
14587,['Gurinder Chadha-6220']
31504,['Andrew Scheinman-3030']
41653,['Åke Sandgren-91565']
53185,['Richard Loncraine-33315']
95743,['Eva Sereny-1006705']
23637,['Lina Wertmüller-26265']
17600,['David O. Russell-17883']
10897,['Penelope Spheeris-58448']
349394,['Rémy Duchemin-1354907']
21352,['George T. Miller-1174031']
68806,['Ricky Tognazzi-105114']
37345,['Michael Austin-67756']
32562,"['Rob Epstein-109402', 'Jeffrey Friedman-109403']"
47507,['Mathieu Kassovitz-2406']
25403,['Nanni Moretti-69488']
124304,['María Luisa Bemberg-1066960']
9066,['Betty Thomas-31024']
771,['Chris Columbus-10965']
251,['Jerry Zucker-3415']
812,"['Ron Clements-15810', 'John Musker-15811']"
280,['James Cameron-2710']
581,['Kevin Costner-1269']
80350,['Steve Cohen-589306']
268,['Tim Burton-510']
274,['Jonathan Demme-16294']
408,['David Hand-5446']
10020,"['Gary Trousdale-62047', 'Kirk Wise-62048']"
10895,"['Hamilton Luske-11429', 'Ben Sharpsteen-11426']"
114,['Garry Marshall-1201']
41043,['Yuri Mamin-125340']
576,['Sam Peckinpah-7767']
15477,['C.M. Talkington-78258']
59146,['Huang Jianxin-134026']
124472,['Jean Bach-1080040']
30528,['Sam Weisman-54967']
7300,['Michael Hoffman-52405']
10824,['Bill Condon-15557']
261246,['Stephen Poliakoff-116607']
275,['Joel Coen-1223']
25059,['David R. Ellis-4755']
11827,['Gerald Potterton-70616']
8766,"['Kevin Yagher-176246', 'Joe Chappelle-55116']"
23570,['Matt Reeves-32278']
47333,['Franco Zeffirelli-24657']
54850,['Anna Campion-75474']
51242,['Franco Brusati-49552']
10112,['Wolfgang Reitherman-57314']
4307,['Pedro Almodóvar-309']
46029,['Fernando Trueba-37526']
32308,['Bill Couturié-116103']
88893,['Werner Herzog-6818']
52873,['André Téchiné-96627']
123505,[]
340210,['Mika Kaurismäki-54767']
44281,['Férid Boughedir-1044284']
28121,['Martin Lawrence-78029']
12520,['Stacy Title-72619']
1592,['Gregory Hoblit-17812']
166901,['Clément Virgo-173004']
36447,['Bruno Barreto-69719']
19042,"['Paul Sabella-71852', 'Larry Leker-952327']"
38884,['Ken Loach-15488']
47449,['Hal Salwen-974388']
36259,['Jonathan R. Betuel-70835']
41852,['Richard Pearce-73496']
40926,['Todd Verow-230320']
9099,['Jonathan Lynn-21217']
2021,['Tim Sullivan-20773']
61752,['Spike Lee-5281']
10988,['Jeremiah S. Chechik-34682']
11479,['Hervé Palud-69537']
398959,['Martin Enlen-43440']
287305,['Carlo Rola-68998']
339428,[]
12652,['Claude Sautet-20789']
10684,['Edward Zwick-9181']
954,['Brian De Palma-1150']
68445,['Friðrik Þór Friðriksson-6759']
18989,['Pen Densham-2182']
10801,['Sönke Wortmann-1869']
54285,['Park Chul-soo-105617']
8840,['Rob Cohen-18878']
278978,['Joseph Vilsmaier-14614']
124625,['Michael Verhoeven-26595']
11107,['Steve Rash-54590']
16417,['Gray Hofmeyr-80526']
70934,['Richard Wherrett-559920']
10363,['René Clément-9740']
161070,['Anthony Hopkins-4173']
10539,['Henry Selick-57646']
10543,['James Foley-15890']
18414,['Kelly Makin-64030']
47502,['Paul Mazursky-47773']
11902,['Emir Kusturica-15254']
27098,['Bo Widerberg-96934']
25087,['Alan Mehrez-115983']
5801,['Satyajit Ray-12160']
896,['Satyajit Ray-12160']
3065,['Jim Mallon-30021']
318177,[]
2300,['Joe Pytka-23677']
8069,['Roger Vadim-53767']
288173,['Catherine Cyran-98940']
187851,['Brett Piper-98094']
27768,['George Hickenlooper-37852']
221917,['Peter Yates-12804']
8072,['Jean-Luc Godard-3776']
35797,['Bertrand Tavernier-20556']
88030,['Mika Kaurismäki-54767']
185191,['Claude Chabrol-19069']
83857,['Gordon Willis-3097']
33245,['Randal Kleiser-8876']
124460,['Michael Blakemore-1080036']
27281,['Simon Wincer-18254']
105045,['Margarethe von Trotta-39298']
40001,['Richard Benjamin-24318']
29621,['Norberto Barba-104404']
117730,['Eli Cohen-585248']
20762,['Robert Mandel-43786']
37144,['Pat Verducci-1046169']
48260,['Michael Winterbottom-172']
12656,['Steven Baigelman-73838']
38867,['Zalman King-42113']
277270,['Barry Caillier-1661328']
25969,['Patrick Read Johnson-56059']
44103,['Stijn Coninx-81964']
753,['John Cassavetes-11147']
43634,['Stacy Cochran-129708']
9103,['Jean-Claude Van Damme-15111']
90214,['Mark Joffe-59438']
29649,['Steve Gomer-104507']
10990,['Lee Tamahori-7256']
8866,['Michael Lehmann-7145']
12233,['George Scribner-71792']
23449,['Tom DeCerchio-1175207']
36355,['Alan Shapiro-129941']
37667,['Angela Pope-1016352']
90148,['Betty Kaplan-1585647']
922,['Jim Jarmusch-4429']
11876,['Jean-Paul Rappeneau-25950']
52633,['Jack Hill -31310']
62364,['Manuel Gómez Pereira-108499']
11687,['Jean-Marie Poiré-64909']
9304,['Harold Ramis-1524']
73183,['Brett Thompson-940684']
131232,"['Francesco Sframeli-1093108', 'Spiro Scimone-1093110']"
9100,['Andrew Fleming-41549']
20759,['Reginald Hudlin-68215']
46063,['Bruce Beresford-5696']
365371,[]
32513,['John Schlesinger-19304']
40651,"['Stephen Quay-124237', 'Timothy Quay-124238']"
36915,['Phil Joanou-18500']
40507,['Larry Cohen-19266']
9802,['Michael Bay-865']
25697,['Harvey Miller-29706']
21588,['Michele Soavi-87680']
664,['Jan de Bont-2209']
11867,['David Hogan-70792']
47119,['Maurice Pialat-16988']
314352,['Gabriel Barylli-564791']
9323,['Mamoru Oshii-12180']
10280,['Tom Holland-64796']
10535,['Rick Friedberg-65548']
124613,['Udayan Prasad-145304']
532,['Nick Park-7314']
26744,['Abraham Polonsky-81976']
16299,['John Landis-4610']
10547,['David Twohy-28239']
245268,['Robert Z. Leonard-93906']
935,['Stanley Kubrick-240']
55613,['Guy Maddin-97579']
215107,"[""John O'Brien-153908""]"
41007,['John Irvin-17784']
35645,['Kevin James Dobson-114468']
110465,['Victor Saville-14860']
255546,['Helena Solberg-1090082']
40751,['Wong Kar-wai-12453']
275096,['Ebrahim Forouzesh-1209349']
85778,['Freida Lee Mock-223825']
11101,['Joseph Vilsmaier-14614']
9826,['Simon Wincer-18254']
9879,['Andrew Bergman-41550']
63564,['David Keating-229695']
22621,['James Mangold-366']
7095,['Francis Ford Coppola-1776']
26890,['Mary Harron-16378']
46732,['Charles Matthau-122728']
124633,['Goran Paskaljević-1009298']
202425,"['Mwezé Ngangura-1184422', 'Benoît Lamy-24409']"
196940,['Jean-Pierre Bekolo-1177451']
77771,['Djibril Diop Mambéty-1079380']
181083,['Gaston Kaboré-1153142']
41225,"['Federico Fellini-4415', 'Louis Malle-15389', 'Roger Vadim-53767']"
188589,"['Henry Jaglom-117075', 'Victoria Foyt-990400']"
87190,['Robby Henson-21415']
627,['Danny Boyle-2034']
32872,['Scott Winant-1214396']
602,['Roland Emmerich-6046']
14553,['Bernardo Bertolucci-4956']
9566,['Tony Scott-893']
10545,"['Gary Trousdale-62047', 'Kirk Wise-62048']"
9894,['Ben Stiller-7399']
11543,"['Bobby Farrelly-7395', 'Peter Farrelly-7396']"
9268,['Chuck Russell-26713']
52059,"['Carma Hinton-240366', 'Richard Gordon-30811']"
9327,['Tom Shadyac-4499']
123763,['María Luisa Bemberg-1066960']
81949,['Lucian Pintilie-592762']
42005,['Gazdag Gyula-544331']
124306,['Gérard Mordillat-41521']
183955,['Mel Chionglo-262130']
44535,['Alexandre Rockwell-3111']
44495,['Christopher Larkin-1144694']
78285,['Laurent Heynemann  -138795']
11228,['Rob Cohen-18878']
10779,['Peter Jackson-108']
26748,['John Sayles-102445']
38223,['Bronwen Hughes-18320']
9294,['Jon Turteltaub-12962']
49963,['Nicole Holofcener-56539']
11363,['Edward Burns-12833']
1645,['Joel Schumacher-5572']
31546,['Michael Corrente-77076']
77056,['Éric Rohmer-28615']
36344,['Fraser Clarke Heston-66076']
18550,['Kevin Hooks-40230']
11511,['Paul Michael Glaser-12988']
172198,['Ildikó Enyedi-1059880']
34170,['Howard Franklin-2357']
281085,['Mitch Marcus-30869']
109478,['Jaime Hellman-1046588']
124645,['Nicolas Roeg-14132']
12606,['Arlene Sanford-15042']
69895,['Maurizio Nichetti-225140']
35206,['Luis Buñuel-793']
151489,['Paul Turner-87397']
4837,['Éric Rohmer-28615']
12632,"['Peter Sehr-56201', 'Gernot Roll-1870']"
9098,['Rolf Silber-48685']
282919,['Peter Weck-6258']
124614,['Manoel de Oliveira-81749']
18975,['Steve Barron-18308']
11962,['John Payson-71110']
2925,['Hugh Wilson-28904']
28628,['Nigel Finch-179609']
3595,['Ron Howard-6159']
9308,['Hart Bochner-7678']
92381,['Doug Ellin-183036']
18555,['Annette Haywood-Carter-119310']
12123,['Andrew Davis-12989']
10830,['Danny DeVito-518']
3573,['Douglas McGrath-32983']
